"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","(Intercept)","0.166794111360897","0.0307684170222919","5.92824824677919e-08","0.147413837003215","0.0307684170222919","3.70870890507195e-05","0.17580863410999","0.0370727459404504","2.11346180738614e-06","-0.0255728912866991","0.045435733557968","0.573691868782212"
"2","lassets","0.00125037222625229","0.0035802866896011","0.726910626864761","0.00215202092070758","0.0035802866896011","0.582241536682742","0.00284372632320797","0.00542872759022965","0.600397304423126","0.0223975890075232","0.00348876310270936","2.24426876746454e-10"
"3","log10(kkm)","-0.00794554949421304","0.00355839926224809","0.0255555436444713","-0.00872385191855917","0.00355839926224809","0.015789577785138","-0.00568969626722036","0.00334570659801076","0.0890188191018123","0.00681552237622994","0.00466144767956729","0.144075429411324"
"4","log10(education)","0.00952581246666425","0.0180906581822708","0.598499348558797","0.0042896369766686","0.0180906581822708","0.817961567668175","-8.41339241465746e-05","0.00402641747054576","0.983329032588796","0.0403681846801676","0.0195140109954292","0.0388726913718921"
"5","d_fdev","-0.000210548574779968","0.000257683003562097","0.413880613248981","-0.000210537242665179","0.000257683003562097","0.42074808561685","-0.00935084189456635","0.003568128277161","0.00877603984743233","-0.000672270476925555","0.000418866318552093","0.108863623627127"
"6","log10(asset_structure + 1)","-0.110939686828023","0.0902860298913063","0.219162530882266","-0.128793037995089","0.0902860298913063","0.17356903998705","0.0196345070270095","0.0187608804979618","0.2952996087915","0.31079502048226","0.119984740447091","0.00975073416850192"
"7","log10(profit_margin)","-0.000603886943577125","0.00273066701494197","0.82497565858367","-0.000269427736031863","0.00273066701494197","0.922746858574217","-0.000201243786648076","0.000255562882333687","0.43101666674018","-0.0208857026123472","0.00544546277281937","0.000134433557649481"
"8","currentlegalstatusCredit Union/ Cooperative","0.00650442653621838","0.0150302835838307","0.665192953810141","0.0131050115707207","0.0150302835838307","0.483349534115324","0.0250868865405058","0.0201772275339337","0.213747454224983","0.0306975992514883","0.00835588130716245","0.00025367367531806"
"9","currentlegalstatusNBFI","-0.0522190803983317","0.0142203109982347","0.000240520725198958","-0.0367421406450018","0.0142203109982347","0.0347303355385867","-0.0418629906544386","0.0186677686580476","0.0249272790161347","-0.0396996338737638","0.00708539332910213","2.83033748987906e-08"
"10","currentlegalstatusNGO","-0.0722885514017637","0.0167595799816621","1.60859302931078e-05","-0.0563373518465896","0.0167595799816621","0.00536066887672779","-0.0534519858616496","0.0210949669025859","0.0112809321807619","-0.0320503949703399","0.00863108500852694","0.000217607897785497"
"11","ageNew","0.00327647230348385","0.00502669455445972","0.514520858560441","0.0024698690915438","0.00502669455445972","0.637776514456341","-0.185019890851173","0.097584642741187","0.0579608464284103","-0.000256530078347769","0.00818793201035442","0.975013373389353"
"12","ageYoung","-0.00566439904154272","0.00329372756253771","0.0854772838803549","-0.00584822862659493","0.00329372756253771","0.0810663934129212","0.000621028531646965","0.00285246218855618","0.827649884646327","-0.0226560515054879","0.00655734497616601","0.00057688951334017"
"13","year2001","0.019570064056341","0.0120487714049079","0.104325170891001","0.019421048894582","0.0120487714049079","0.110215347359715","0.0192244986255627","0.0118388771986064","0.104408945907332","0.00398927729943673","0.0334945266122736","0.905221879971031"
"14","year2002","0.0181194982306339","0.0105392328801815","0.0855702052974436","0.0178760184721497","0.0105392328801815","0.092920393826589","0.0174608907007203","0.0103642628729449","0.0920424242934247","-0.0157159492497459","0.0288275127024269","0.585775684748078"
"15","year2003","0.0116235425386389","0.0103788703698805","0.262746292929798","0.0109362349340952","0.0103788703698805","0.297218376807536","0.0111028593194844","0.0102272616876598","0.277649766458354","-0.0193356897778213","0.0277517945980531","0.486154650379176"
"16","year2004","0.00919934304791743","0.0103029850025722","0.371920721284965","0.00833877297416376","0.0103029850025722","0.424312756563565","0.00848787285108918","0.0101945291005709","0.405075454650372","-0.0445751476031141","0.0267076720822737","0.0954785014375871"
"17","year2005","0.0101450528560737","0.00993373844462429","0.307125401147438","0.00953189618475755","0.00993373844462429","0.345032576811537","0.0104546772206367","0.00987214855135403","0.289596462625736","-0.044125510542341","0.0260226220874793","0.0903097911527284"
"18","year2006","0.00856556036769141","0.0102861445933802","0.404998162875573","0.00772282833792769","0.0102861445933802","0.460314270395595","0.00731205577211164","0.0102933165391857","0.477475173297324","-0.035558196476147","0.0259330141213429","0.170681670318062"
"19","year2007","0.00495498092973418","0.0105050486557771","0.637157961598365","0.00383063842506964","0.0105050486557771","0.720798245904234","0.00372284030004395","0.0105701306103811","0.724685417919359","-0.0541340032203279","0.025942878643603","0.0372107401467647"
"20","year2008","0.00296518419756412","0.0106413566052424","0.780515588128394","0.00186330642648292","0.0106413566052424","0.863817317591801","0.00328989986057157","0.0107469607324055","0.759510429774817","-0.06235102493077","0.0258556313679583","0.0160939373016357"
"21","year2009","0.00685076847552508","0.0108268193079673","0.526890967260204","0.00605572329799435","0.0108268193079673","0.586370327178931","0.0078658920643184","0.0110009644982003","0.474597672007401","-0.0638431507767389","0.0259308615448772","0.0140082527034222"
"22","year2010","0.0116133680586866","0.0109484050557767","0.288809866675922","0.0095253453914756","0.0109484050557767","0.398526712799364","0.00905633146955386","0.0111519503800311","0.416742867603988","-0.0477810762266838","0.0257086425031694","0.0634285101600742"
"23","year2011","0.0224280875494645","0.010986596528205","0.0412106379308942","0.0211865906432532","0.010986596528205","0.0611135097501857","0.0210441448572149","0.011208652923211","0.0604508312754073","-0.0415608046277456","0.0255571033065048","0.104272226907602"
"24","year2012","0.0165603362079849","0.0110309492126552","0.133288012614131","0.0145516744450209","0.0110309492126552","0.199565301659021","0.0138385625164107","0.0112365330993619","0.218110237232192","-0.0482775046094196","0.0254139665668601","0.0578117673517601"
"25","year2013","0.0162994018202963","0.0113209606589601","0.14993692400784","0.0149384652434676","0.0113209606589601","0.199997419833562","0.0139483484368766","0.011601455357049","0.229250032349268","-0.0516170987992732","0.025546596806723","0.0436381115888951"
"26","year2014","0.0181500783637829","0.0115283285653621","0.115397451476147","0.0168375335121769","0.0115283285653621","0.156175765321825","0.0172229611188543","0.0118265766660455","0.145311632640871","-0.0524498456077536","0.0255390821287751","0.0403036466704743"
"27","year2015","0.0173688558848719","0.0118975676733811","0.144326873841811","0.0160165778685761","0.0118975676733811","0.191183001654702","0.0181716208774573","0.0122010840019427","0.136396599187583","-0.0638060427132043","0.0256222618343308","0.0129515054874348"
"28","year2016","0.0195525422307449","0.0122510506277434","0.110491245797345","0.0187096806251958","0.0122510506277434","0.138003442827776","0.0193620342480054","0.0126082601958061","0.12462114031652","-0.0677532900096451","0.0266801597391949","0.0112761155390752"
"29","year2017","0.0187073679865765","0.0123202911236387","0.128908725968382","0.017562051573822","0.0123202911236387","0.165867373930656","0.0193046762759249","0.0126451069481526","0.126847599398978","-0.0689253105232156","0.026843433139205","0.0104049617661035"
"30","year2018","0.0262399609642957","0.0123715300867329","0.0339221721231988","0.0254355286731755","0.0123715300867329","0.0460925711633343","0.0228228862408436","0.0126896636135516","0.0720912431759214","-0.0563253529729726","0.0266348710552678","0.0347387753031117"
"31","year2019","0.029446321249848","0.0130940768551772","0.0245234675435017","0.0282524973944897","0.0130940768551772","0.0358301969454042","0.0287528225329434","0.0133873673243446","0.0317330013778903","-0.0532704336310488","0.028842395925939","0.0650955096387009"
